"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Dry","Almond Joy","Hershey","ETDP-0000-0306","034000052202","","Each","Almond Joy Chocolate Coconut Candy Chocolate Candy Bar, 3.22 oz. Box (8-18 Case)","Almond Joy Chocolate Coconut Candy Chocolate Candy Bar, 3.22 oz. Box (8-18 Case)","0.21","0.7","5.12","2.69","Almond Joy Chocolate Coconut Candy Choco","late Candy Bar, 3.22 oz. Box (8-18 Case)"
"Dry","Hershey's","Hershey","ETDP-0000-0307","034000220007","","Each","Hershey's Milk Chocolate Chocolate Candy Bar, 2.6 oz. Box (12-18 Case)","Hershey's Milk Chocolate Chocolate Candy Bar, 2.6 oz. Box (12-18 Case)","6.8","15","11","3","Hershey's Milk Chocolate Chocolate Candy"," Bar, 2.6 oz. Box (12-18 Case)"
"Dry","Hershey's","Hershey","ETDP-0000-0309","034000247004","","Each","Hershey's Whatchamacallit Candy Bar, 1.6 oz. Box (12-36 Case)","Hershey's Whatchamacallit Candy Bar, 1.6 oz. Box (12-36 Case)","3.92","3.8","9.2","3.92","Hershey's Whatchamacallit Candy Bar, 1.6"," oz. Box (12-36 Case)"
"Dry","Ice Breakers","Hershey","ETDP-0000-0310","034000723898","","Each","Ice Breakers Duo Fruit plus Sugar Free Cool Watermellon Mints, 1.3 oz. Pack (24-8 Case)","Ice Breakers Duo Fruit plus Sugar Free Cool Watermellon Mints, 1.3 oz. Pack (24-8 Case)","0.65","8.9","3.4","0.95","Ice Breakers Duo Fruit plus Sugar Free C","ool Watermellon Mints, 1.3 oz. Pack (24-8 Case)"
"Dry","Ice Breakers","Hershey","ETDP-0000-0311","034000720606","","Each","Ice Breakers Sugar Free Coolmint Mints, 1.5 oz. Pack (24-8 Case)","Ice Breakers Sugar Free Coolmint Mints, 1.5 oz. Pack (24-8 Case)","1.02","7.2","3.2","3.1","Ice Breakers Sugar Free Coolmint Mints, ","1.5 oz. Pack (24-8 Case)"
"Dry","Ice Breakers","Hershey","ETDP-0000-0312","034000720620","","Each","Ice Breakers Sugar Free Wintergreen Mints, 1.5 oz. Pack (24-8 Case)","Ice Breakers Sugar Free Wintergreen Mints, 1.5 oz. Pack (24-8 Case)","1.05","6.25","3.2","1.05","Ice Breakers Sugar Free Wintergreen Mint","s, 1.5 oz. Pack (24-8 Case)"
"Dry","Ice Breakers","Hershey","ETDP-0000-0313","034000721238","","Each","Ice Breakers Sugar Free Spearmint Mints, 1.5 oz. Pack (24-8 Case)","Ice Breakers Sugar Free Spearmint Mints, 1.5 oz. Pack (24-8 Case)","0.09","8.03","4.57","3.23","Ice Breakers Sugar Free Spearmint Mints,"," 1.5 oz. Pack (24-8 Case)"
"Dry","Jolly Rancher","Hershey","ETDP-0000-0315","010700702302","","Each","Jolly Rancher Assorted Flavors Candy, 4.5 oz. Bag (1-12 Case)","Jolly Rancher Assorted Flavors Candy, 4.5 oz. Bag (1-12 Case)","0.43","0.63","5.43","8.58","Jolly Rancher Assorted Flavors Candy, 4.","5 oz. Bag (1-12 Case)"
"Dry","Jolly Rancher","Hershey","ETDP-1000-0316","010700102003","","Each","Jolly Rancher Fruit N Sour Flavors Candy, 6.5 oz. Bag (1-12 Case)","Jolly Rancher Fruit N Sour Flavors Candy, 6.5 oz. Bag (1-12 Case)","0.425","999","999","999","Jolly Rancher Fruit N Sour Flavors Candy",", 6.5 oz. Bag (1-12 Case)"
"Dry","Jolly Rancher","Hershey","ETDP-1000-0317","010700519511","","Each","Jolly Rancher  Candy, 2.06 oz. Box (8-12 Case)","Jolly Rancher  Candy, 2.06 oz. Box (8-12 Case)","0.13","999","999","999","Jolly Rancher  Candy, 2.06 oz. Box (8-12"," Case)"
"Dry","Kit Kat","Hershey","ETDP-1000-0319","034000226009","","Each","Kit Kat  Chocolate Candy Bar, 3 oz. Box (6-24 Case)","Kit Kat  Chocolate Candy Bar, 3 oz. Box (6-24 Case)","4.9","11.85","3.7","4.9","Kit Kat  Chocolate Candy Bar, 3 oz. Box ","(6-24 Case)"
"Dry","Kit Kat","Hershey","ETDP-1000-0320","034000236107","","Each","Kit Kat White Creme Wafers Candy Bar, 1.5 oz. Box (12-24 Case)","Kit Kat White Creme Wafers Candy Bar, 1.5 oz. Box (12-24 Case)","2.4","2.6","11","2.4","Kit Kat White Creme Wafers Candy Bar, 1.","5 oz. Box (12-24 Case)"
"Dry","Kit Kat","Hershey","ETDP-1000-0321","999123456789","","Each","Kit Kat  Chocolate Candy Bar, 1.5 oz. Box (12-36 Case)","Kit Kat  Chocolate Candy Bar, 1.5 oz. Box (12-36 Case)","0.09","12.32","5.63","2.91","Kit Kat  Chocolate Candy Bar, 1.5 oz. Bo","x (12-36 Case)"
"Dry","Milk Duds","Hershey","ETDP-1000-0322","010700021526","","Each","Milk Duds  Candy, 5 oz. Movie Theater Box (1-12 Case)","Milk Duds  Candy, 5 oz. Movie Theater Box (1-12 Case)","5","5.12","6.63","2.88","Milk Duds  Candy, 5 oz. Movie Theater Bo","x (1-12 Case)"
"Dry","Twizzlers","Hershey","ETDP-1000-0323","034000530137","","Each","Twizzlers Licorice Cherry Candy, 2.25 oz. Box (8-36 Case)","Twizzlers Licorice Cherry Candy, 2.25 oz. Box (8-36 Case)","5","0.39","0.43","0.16","Twizzlers Licorice Cherry Candy, 2.25 oz",". Box (8-36 Case)"
"Dry","Twizzlers","Hershey","ETDP-1000-0324","034000544134","","Each","Twizzlers Cherry Nibs Candy, 6 oz. Bag (1-12 Case)","Twizzlers Cherry Nibs Candy, 6 oz. Bag (1-12 Case)","0.375","0.7","5.05","7.43","Twizzlers Cherry Nibs Candy, 6 oz. Bag (","1-12 Case)"
"Dry","Twizzlers","Hershey","ETDP-1000-0325","034000544028","","Each","Twizzlers Strawberry Twists Candy, 7 oz. Bag (1-12 Case)","Twizzlers Strawberry Twists Candy, 7 oz. Bag (1-12 Case)","0.4","7.56","4.13","1.26","Twizzlers Strawberry Twists Candy, 7 oz."," Bag (1-12 Case)"
"Dry","Twizzlers","Hershey","ETDP-1000-0326","034000531035","","Each","Twizzlers Strawberry Twists Candy, 5 oz. Box (8-15 Case)","Twizzlers Strawberry Twists Candy, 5 oz. Box (8-15 Case)","5","11.69","25.09","3.62","Twizzlers Strawberry Twists Candy, 5 oz."," Box (8-15 Case)"
